id,category,context,mistake_text,correct_text
766,punctuation,development project,last week she work from home every Friday,Last week she works from home every Friday.
767,tense,monthly report,this morning he dont knows the answer,This morning he doesn't know the answer.
768,word_usage,job application,during the meeting we has finished the work,During the meeting we have finished the work.
769,subject_verb_agreement,team meeting,after the call i go to the office yesterday,After the call i went to the office yesterday
770,preposition,landing page,before the deadline she dont like the new design,Before the deadline she doesn't like the new design
771,grammar,company website,yesterday he have completed the task,Yesterday he has completed the task
772,spelling,content update,today we was working on the website,Today we were working on the website
773,punctuation,social media campaign,last week the pages is loading slowly,Last week the pages are loading slowly
774,tense,analytics report,this morning please send me the file tommorow,This morning please send me the file tomorrow
775,word_usage,business proposal,during the meeting i didnt receive your email,During the meeting i didn't receive your email
776,subject_verb_agreement,email campaign,after the call the client are happy with the result,After the call the client is happy with the result
777,preposition,product launch,before the deadline she have three years experience,Before the deadline she has three years of experience
778,grammar,website audit,yesterday we need to improves the website,Yesterday we need to improve the website
779,spelling,keyword research,today he did not went to the meeting,Today he did not go to the meeting
780,punctuation,performance review,last week i am looking forward to meet you,Last week i am looking forward to meeting you
781,tense,website project,this morning there is many errors in the report,This morning there are many errors in the report
782,word_usage,SEO campaign,during the meeting she is good in SEO,During the meeting she is good at SEO
783,subject_verb_agreement,client meeting,after the call please reply me as soon as possible,After the call please reply to me as soon as possible
784,preposition,marketing report,before the deadline the website dont work on mobile,Before the deadline the website doesn't work on mobile
785,grammar,design task,yesterday i have finish the project,Yesterday i have finished the project
786,spelling,development project,today they was waiting for the client,Today they were waiting for the client
787,punctuation,monthly report,last week he can speaks English well,Last week he can speak English well
788,tense,job application,this morning we discussed about the issue,This morning we discussed the issue
789,word_usage,team meeting,during the meeting i need an information about the job,During the meeting i need information about the job
790,subject_verb_agreement,landing page,after the call she bought a new laptop yesterday,After the call she bought a new laptop yesterday
791,preposition,company website,before the deadline the content have many mistakes,Before the deadline the content has many mistakes
792,grammar,content update,yesterday our manager give us new tasks,Yesterday our manager gives us new tasks
793,spelling,social media campaign,today i will sent the report tonight,Today i will send the report tonight
794,punctuation,analytics report,last week he is working here since 2023,Last week he has been working here since 2023
795,tense,business proposal,this morning the mobile version did not looked good,This morning the mobile version did not look good
796,word_usage,email campaign,during the meeting i forgeted to attach the document,During the meeting i forgot to attach the document
797,subject_verb_agreement,product launch,after the call this is more better than the old version,After the call this is better than the old version
798,preposition,website audit,before the deadline she suggested me to apply,Before the deadline she suggested that I apply
799,grammar,keyword research,yesterday we need more informations,Yesterday we need more information
800,spelling,performance review,today each employees has an account,Today each employee has an account
801,punctuation,website project,last week the team are ready for the meeting,Last week the team is ready for the meeting
802,tense,SEO campaign,this morning i am agree with your idea,This morning i agree with your idea
803,word_usage,client meeting,during the meeting he explained me the process,During the meeting he explained the process to me
804,subject_verb_agreement,marketing report,after the call she is married with a doctor,After the call she is married to a doctor
805,preposition,design task,before the deadline i am interested on this position,Before the deadline i am interested in this position
806,grammar,development project,yesterday please check if there is any mistakes,Yesterday please check if there are any mistakes
807,spelling,monthly report,today we will discussed it tomorrow,Today we will discuss it tomorrow
808,punctuation,job application,last week did you completed the work,Last week did you complete the work
809,tense,team meeting,this morning where you are going,This morning where are you going?
810,word_usage,landing page,during the meeting what time the meeting starts,During the meeting what time does the meeting start?
811,subject_verb_agreement,company website,after the call yesterday i visited the client,"After the call yesterday, I visited the client."
812,preposition,content update,"before the deadline the website was very slow, we fixed it","Before the deadline the website was very slow, so we fixed it."
813,grammar,social media campaign,yesterday i have five year experience in web design,Yesterday i have five years of experience in web design.
814,spelling,analytics report,today she work from home every Friday,Today she works from home every Friday.
815,punctuation,business proposal,last week he dont knows the answer,Last week he doesn't know the answer.
816,tense,email campaign,this morning we has finished the work,This morning we have finished the work.
817,word_usage,product launch,during the meeting i go to the office yesterday,During the meeting i went to the office yesterday
818,subject_verb_agreement,website audit,after the call she dont like the new design,After the call she doesn't like the new design
819,preposition,keyword research,before the deadline he have completed the task,Before the deadline he has completed the task
820,grammar,performance review,yesterday we was working on the website,Yesterday we were working on the website
821,spelling,website project,today the pages is loading slowly,Today the pages are loading slowly
822,punctuation,SEO campaign,last week please send me the file tommorow,Last week please send me the file tomorrow
823,tense,client meeting,this morning i didnt receive your email,This morning i didn't receive your email
824,word_usage,marketing report,during the meeting the client are happy with the result,During the meeting the client is happy with the result
825,subject_verb_agreement,design task,after the call she have three years experience,After the call she has three years of experience
826,preposition,development project,before the deadline we need to improves the website,Before the deadline we need to improve the website
827,grammar,monthly report,yesterday he did not went to the meeting,Yesterday he did not go to the meeting
828,spelling,job application,today i am looking forward to meet you,Today i am looking forward to meeting you
829,punctuation,team meeting,last week there is many errors in the report,Last week there are many errors in the report
830,tense,landing page,this morning she is good in SEO,This morning she is good at SEO
831,word_usage,company website,during the meeting please reply me as soon as possible,During the meeting please reply to me as soon as possible
832,subject_verb_agreement,content update,after the call the website dont work on mobile,After the call the website doesn't work on mobile
833,preposition,social media campaign,before the deadline i have finish the project,Before the deadline i have finished the project
834,grammar,analytics report,yesterday they was waiting for the client,Yesterday they were waiting for the client
835,spelling,business proposal,today he can speaks English well,Today he can speak English well
836,punctuation,email campaign,last week we discussed about the issue,Last week we discussed the issue
837,tense,product launch,this morning i need an information about the job,This morning i need information about the job
838,word_usage,website audit,during the meeting she bought a new laptop yesterday,During the meeting she bought a new laptop yesterday
839,subject_verb_agreement,keyword research,after the call the content have many mistakes,After the call the content has many mistakes
840,preposition,performance review,before the deadline our manager give us new tasks,Before the deadline our manager gives us new tasks
841,grammar,website project,yesterday i will sent the report tonight,Yesterday i will send the report tonight
842,spelling,SEO campaign,today he is working here since 2023,Today he has been working here since 2023
843,punctuation,client meeting,last week the mobile version did not looked good,Last week the mobile version did not look good
844,tense,marketing report,this morning i forgeted to attach the document,This morning i forgot to attach the document
845,word_usage,design task,during the meeting this is more better than the old version,During the meeting this is better than the old version
846,subject_verb_agreement,development project,after the call she suggested me to apply,After the call she suggested that I apply
847,preposition,monthly report,before the deadline we need more informations,Before the deadline we need more information
848,grammar,job application,yesterday each employees has an account,Yesterday each employee has an account
849,spelling,team meeting,today the team are ready for the meeting,Today the team is ready for the meeting
850,punctuation,landing page,last week i am agree with your idea,Last week i agree with your idea
851,tense,company website,this morning he explained me the process,This morning he explained the process to me
852,word_usage,content update,during the meeting she is married with a doctor,During the meeting she is married to a doctor
853,subject_verb_agreement,social media campaign,after the call i am interested on this position,After the call i am interested in this position
854,preposition,analytics report,before the deadline please check if there is any mistakes,Before the deadline please check if there are any mistakes
855,grammar,business proposal,yesterday we will discussed it tomorrow,Yesterday we will discuss it tomorrow
856,spelling,email campaign,today did you completed the work,Today did you complete the work
857,punctuation,product launch,last week where you are going,Last week where are you going?
858,tense,website audit,this morning what time the meeting starts,This morning what time does the meeting start?
859,word_usage,keyword research,during the meeting yesterday i visited the client,"During the meeting yesterday, I visited the client."
860,subject_verb_agreement,performance review,"after the call the website was very slow, we fixed it","After the call the website was very slow, so we fixed it."
861,preposition,website project,before the deadline i have five year experience in web design,Before the deadline i have five years of experience in web design.
862,grammar,SEO campaign,yesterday she work from home every Friday,Yesterday she works from home every Friday.
863,spelling,client meeting,today he dont knows the answer,Today he doesn't know the answer.
864,punctuation,marketing report,last week we has finished the work,Last week we have finished the work.
865,tense,design task,this morning i go to the office yesterday,This morning i went to the office yesterday
866,word_usage,development project,during the meeting she dont like the new design,During the meeting she doesn't like the new design
867,subject_verb_agreement,monthly report,after the call he have completed the task,After the call he has completed the task
868,preposition,job application,before the deadline we was working on the website,Before the deadline we were working on the website
869,grammar,team meeting,yesterday the pages is loading slowly,Yesterday the pages are loading slowly
870,spelling,landing page,today please send me the file tommorow,Today please send me the file tomorrow
871,punctuation,company website,last week i didnt receive your email,Last week i didn't receive your email
872,tense,content update,this morning the client are happy with the result,This morning the client is happy with the result
873,word_usage,social media campaign,during the meeting she have three years experience,During the meeting she has three years of experience
874,subject_verb_agreement,analytics report,after the call we need to improves the website,After the call we need to improve the website
875,preposition,business proposal,before the deadline he did not went to the meeting,Before the deadline he did not go to the meeting
876,grammar,email campaign,yesterday i am looking forward to meet you,Yesterday i am looking forward to meeting you
877,spelling,product launch,today there is many errors in the report,Today there are many errors in the report
878,punctuation,website audit,last week she is good in SEO,Last week she is good at SEO
879,tense,keyword research,this morning please reply me as soon as possible,This morning please reply to me as soon as possible
880,word_usage,performance review,during the meeting the website dont work on mobile,During the meeting the website doesn't work on mobile
881,subject_verb_agreement,website project,after the call i have finish the project,After the call i have finished the project
882,preposition,SEO campaign,before the deadline they was waiting for the client,Before the deadline they were waiting for the client
883,grammar,client meeting,yesterday he can speaks English well,Yesterday he can speak English well
884,spelling,marketing report,today we discussed about the issue,Today we discussed the issue
885,punctuation,design task,last week i need an information about the job,Last week i need information about the job
886,tense,development project,this morning she bought a new laptop yesterday,This morning she bought a new laptop yesterday
887,word_usage,monthly report,during the meeting the content have many mistakes,During the meeting the content has many mistakes
888,subject_verb_agreement,job application,after the call our manager give us new tasks,After the call our manager gives us new tasks
889,preposition,team meeting,before the deadline i will sent the report tonight,Before the deadline i will send the report tonight
890,grammar,landing page,yesterday he is working here since 2023,Yesterday he has been working here since 2023
891,spelling,company website,today the mobile version did not looked good,Today the mobile version did not look good
892,punctuation,content update,last week i forgeted to attach the document,Last week i forgot to attach the document
893,tense,social media campaign,this morning this is more better than the old version,This morning this is better than the old version
894,word_usage,analytics report,during the meeting she suggested me to apply,During the meeting she suggested that I apply
895,subject_verb_agreement,business proposal,after the call we need more informations,After the call we need more information
896,preposition,email campaign,before the deadline each employees has an account,Before the deadline each employee has an account
897,grammar,product launch,yesterday the team are ready for the meeting,Yesterday the team is ready for the meeting
898,spelling,website audit,today i am agree with your idea,Today i agree with your idea
899,punctuation,keyword research,last week he explained me the process,Last week he explained the process to me
900,tense,performance review,this morning she is married with a doctor,This morning she is married to a doctor
901,word_usage,website project,during the meeting i am interested on this position,During the meeting i am interested in this position
902,subject_verb_agreement,SEO campaign,after the call please check if there is any mistakes,After the call please check if there are any mistakes
903,preposition,client meeting,before the deadline we will discussed it tomorrow,Before the deadline we will discuss it tomorrow
904,grammar,marketing report,yesterday did you completed the work,Yesterday did you complete the work
905,spelling,design task,today where you are going,Today where are you going?
906,punctuation,development project,last week what time the meeting starts,Last week what time does the meeting start?
907,tense,monthly report,this morning yesterday i visited the client,"This morning yesterday, I visited the client."
908,word_usage,job application,"during the meeting the website was very slow, we fixed it","During the meeting the website was very slow, so we fixed it."
909,subject_verb_agreement,team meeting,after the call i have five year experience in web design,After the call i have five years of experience in web design.
910,preposition,landing page,before the deadline she work from home every Friday,Before the deadline she works from home every Friday.
911,grammar,company website,yesterday he dont knows the answer,Yesterday he doesn't know the answer.
912,spelling,content update,today we has finished the work,Today we have finished the work.
913,punctuation,social media campaign,last week i go to the office yesterday,Last week i went to the office yesterday
914,tense,analytics report,this morning she dont like the new design,This morning she doesn't like the new design
915,word_usage,business proposal,during the meeting he have completed the task,During the meeting he has completed the task
916,subject_verb_agreement,email campaign,after the call we was working on the website,After the call we were working on the website
917,preposition,product launch,before the deadline the pages is loading slowly,Before the deadline the pages are loading slowly
918,grammar,website audit,yesterday please send me the file tommorow,Yesterday please send me the file tomorrow
919,spelling,keyword research,today i didnt receive your email,Today i didn't receive your email
920,punctuation,performance review,last week the client are happy with the result,Last week the client is happy with the result
921,tense,website project,this morning she have three years experience,This morning she has three years of experience
922,word_usage,SEO campaign,during the meeting we need to improves the website,During the meeting we need to improve the website
923,subject_verb_agreement,client meeting,after the call he did not went to the meeting,After the call he did not go to the meeting
924,preposition,marketing report,before the deadline i am looking forward to meet you,Before the deadline i am looking forward to meeting you
925,grammar,design task,yesterday there is many errors in the report,Yesterday there are many errors in the report
926,spelling,development project,today she is good in SEO,Today she is good at SEO
927,punctuation,monthly report,last week please reply me as soon as possible,Last week please reply to me as soon as possible
928,tense,job application,this morning the website dont work on mobile,This morning the website doesn't work on mobile
929,word_usage,team meeting,during the meeting i have finish the project,During the meeting i have finished the project
930,subject_verb_agreement,landing page,after the call they was waiting for the client,After the call they were waiting for the client
931,preposition,company website,before the deadline he can speaks English well,Before the deadline he can speak English well
932,grammar,content update,yesterday we discussed about the issue,Yesterday we discussed the issue
933,spelling,social media campaign,today i need an information about the job,Today i need information about the job
934,punctuation,analytics report,last week she bought a new laptop yesterday,Last week she bought a new laptop yesterday
935,tense,business proposal,this morning the content have many mistakes,This morning the content has many mistakes
936,word_usage,email campaign,during the meeting our manager give us new tasks,During the meeting our manager gives us new tasks
937,subject_verb_agreement,product launch,after the call i will sent the report tonight,After the call i will send the report tonight
938,preposition,website audit,before the deadline he is working here since 2023,Before the deadline he has been working here since 2023
939,grammar,keyword research,yesterday the mobile version did not looked good,Yesterday the mobile version did not look good
940,spelling,performance review,today i forgeted to attach the document,Today i forgot to attach the document
941,punctuation,website project,last week this is more better than the old version,Last week this is better than the old version
942,tense,SEO campaign,this morning she suggested me to apply,This morning she suggested that I apply
943,word_usage,client meeting,during the meeting we need more informations,During the meeting we need more information
944,subject_verb_agreement,marketing report,after the call each employees has an account,After the call each employee has an account
945,preposition,design task,before the deadline the team are ready for the meeting,Before the deadline the team is ready for the meeting
946,grammar,development project,yesterday i am agree with your idea,Yesterday i agree with your idea
947,spelling,monthly report,today he explained me the process,Today he explained the process to me
948,punctuation,job application,last week she is married with a doctor,Last week she is married to a doctor
949,tense,team meeting,this morning i am interested on this position,This morning i am interested in this position
950,word_usage,landing page,during the meeting please check if there is any mistakes,During the meeting please check if there are any mistakes
951,subject_verb_agreement,company website,after the call we will discussed it tomorrow,After the call we will discuss it tomorrow
952,preposition,content update,before the deadline did you completed the work,Before the deadline did you complete the work
953,grammar,social media campaign,yesterday where you are going,Yesterday where are you going?
954,spelling,analytics report,today what time the meeting starts,Today what time does the meeting start?
955,punctuation,business proposal,last week yesterday i visited the client,"Last week yesterday, I visited the client."
956,tense,email campaign,"this morning the website was very slow, we fixed it","This morning the website was very slow, so we fixed it."
957,word_usage,product launch,during the meeting i have five year experience in web design,During the meeting i have five years of experience in web design.
958,subject_verb_agreement,website audit,after the call she work from home every Friday,After the call she works from home every Friday.
959,preposition,keyword research,before the deadline he dont knows the answer,Before the deadline he doesn't know the answer.
960,grammar,performance review,yesterday we has finished the work,Yesterday we have finished the work.
961,spelling,website project,today i go to the office yesterday,Today i went to the office yesterday
962,punctuation,SEO campaign,last week she dont like the new design,Last week she doesn't like the new design
963,tense,client meeting,this morning he have completed the task,This morning he has completed the task
964,word_usage,marketing report,during the meeting we was working on the website,During the meeting we were working on the website
965,subject_verb_agreement,design task,after the call the pages is loading slowly,After the call the pages are loading slowly
966,preposition,development project,before the deadline please send me the file tommorow,Before the deadline please send me the file tomorrow
967,grammar,monthly report,yesterday i didnt receive your email,Yesterday i didn't receive your email
968,spelling,job application,today the client are happy with the result,Today the client is happy with the result
969,punctuation,team meeting,last week she have three years experience,Last week she has three years of experience
970,tense,landing page,this morning we need to improves the website,This morning we need to improve the website
971,word_usage,company website,during the meeting he did not went to the meeting,During the meeting he did not go to the meeting
972,subject_verb_agreement,content update,after the call i am looking forward to meet you,After the call i am looking forward to meeting you
973,preposition,social media campaign,before the deadline there is many errors in the report,Before the deadline there are many errors in the report
974,grammar,analytics report,yesterday she is good in SEO,Yesterday she is good at SEO
975,spelling,business proposal,today please reply me as soon as possible,Today please reply to me as soon as possible
976,punctuation,email campaign,last week the website dont work on mobile,Last week the website doesn't work on mobile
977,tense,product launch,this morning i have finish the project,This morning i have finished the project
978,word_usage,website audit,during the meeting they was waiting for the client,During the meeting they were waiting for the client
979,subject_verb_agreement,keyword research,after the call he can speaks English well,After the call he can speak English well
980,preposition,performance review,before the deadline we discussed about the issue,Before the deadline we discussed the issue
981,grammar,website project,yesterday i need an information about the job,Yesterday i need information about the job
982,spelling,SEO campaign,today she bought a new laptop yesterday,Today she bought a new laptop yesterday
983,punctuation,client meeting,last week the content have many mistakes,Last week the content has many mistakes
984,tense,marketing report,this morning our manager give us new tasks,This morning our manager gives us new tasks
985,word_usage,design task,during the meeting i will sent the report tonight,During the meeting i will send the report tonight
986,subject_verb_agreement,development project,after the call he is working here since 2023,After the call he has been working here since 2023
987,preposition,monthly report,before the deadline the mobile version did not looked good,Before the deadline the mobile version did not look good
988,grammar,job application,yesterday i forgeted to attach the document,Yesterday i forgot to attach the document
989,spelling,team meeting,today this is more better than the old version,Today this is better than the old version
990,punctuation,landing page,last week she suggested me to apply,Last week she suggested that I apply
991,tense,company website,this morning we need more informations,This morning we need more information
992,word_usage,content update,during the meeting each employees has an account,During the meeting each employee has an account
993,subject_verb_agreement,social media campaign,after the call the team are ready for the meeting,After the call the team is ready for the meeting
994,preposition,analytics report,before the deadline i am agree with your idea,Before the deadline i agree with your idea
995,grammar,business proposal,yesterday he explained me the process,Yesterday he explained the process to me
996,spelling,email campaign,today she is married with a doctor,Today she is married to a doctor
997,punctuation,product launch,last week i am interested on this position,Last week i am interested in this position
998,tense,website audit,this morning please check if there is any mistakes,This morning please check if there are any mistakes
999,word_usage,keyword research,during the meeting we will discussed it tomorrow,During the meeting we will discuss it tomorrow
1000,subject_verb_agreement,performance review,after the call did you completed the work,After the call did you complete the work
